id,RD_NAME,RD_DIRECTION,DIRECTION,BEGIN,END,S8AM,NS8AM
0,MA-3,Bay Village Eastbound,IN,Beginning of Route or Break,Charles St,0.988,0.966
1,US-1,Northbound,IN,I-93,I-93,1.078,1.043
2,John F Gilmore Brg,Northbound,IN,Beginning of Route or Break,Prison Point Brg,0.931,0.947
3,I-93 HOV,Charlestown Southbound,IN,Cambridge St,I-93/US-1,0.768,0.648
4,Cambridge St,Eastbound,IN,Beginning of Route or Break,I-93,0.939,0.895
5,Broadway,Eastbound,IN,MA-28/Edmands St/McGrath Hwy,Maffa Way/Mystic Ave,0.900,0.859
6,I-93 HOV,Charlestown Southbound,IN,Beginning of Route or Break,Cambridge St,0.396,0.340
7,Mystic Ave,Eastbound,IN,Beginning of Route or Break,Lombardi St,0.820,0.780
8,MA-99,Boston Southbound,IN,Beginning of Route or Break,Alford St,0.490,0.468
9,US-1,Southbound,IN,Mystic River/Tobin Brg (North),Mystic Riv/Tobin Brg Toll Plaza,0.680,0.528
10,Andrew McArdle Brg,Southbound,IN,Beginning of Route or Break,Nay St,1.000,0.949
11,Chelsea St,Southbound,IN,Beginning of Route or Break,Bennington St,0.959,0.948
12,MA-1A,Southbound,IN,MA-145/Revere Beach Pkwy,Boardman St,0.417,0.384
13,MA-145,Southbound,IN,Main St/Pleasant St,Bennington St,0.844,0.826
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,MA-3A,Neponset Northbound,IN,Newport Avenue Ext/Quincy Shore Dr,I-93/US-1/MA-3A/Southeast Expy,0.622,0.568
30,I-93,Northbound,IN,Granite Ave/Exit 11,MA-203/Gallivan Blvd/Exit 12,0.329,0.342
31,Granite Ave,Northbound,IN,I-93/US-1/MA-3/Southeast Expy,Adams St/Gallivan Blvd,0.831,0.821
32,Adams St,Westbound,IN,Canton Ave,Washington St/Dorchester Ave,0.926,0.840
33,Central Ave,Northbound,IN,Beginning of Route or Break,River St,0.964,0.980
34,MA-28,Northbound,IN,Canton Ave,Cummins Hwy,0.690,0.696
35,Truman Hwy,Hyde Park Southbound,IN,Beginning of Route or Break,Fairmount Ave,0.972,0.979
36,Truman Hwy,Northbound,IN,Beginning of Route or Break,Fairmount Ave,0.975,0.997
37,Neponset Valley Pkwy,Hyde Park Westbound,IN,Beginning of Route or Break,Truman Hwy,0.966,0.964
38,Milton St,Hyde Park Eastbound,IN,River St/Atlas Way,Neponset Valley Pkwy,0.965,0.969
39,Sprague St,Hyde Park Eastbound,IN,Beginning of Route or Break,W Milton St,0.982,0.977
40,River St,Eastbound,IN,Beginning of Route or Break,Neponset Valley Pkwy/Readville St,0.972,0.949
41,Dedham Pkwy,Northbound,IN,Beginning of Route or Break,Enneking Pkwy/Turtle Pond Pkwy,0.928,0.933
42,Bussey St,Northbound,IN,Beginning of Route or Break,Norfolk/Suffolk County Line,0.937,0.932
43,Washington St,Northbound,IN,Boston Providence Tpke/Vfw Pkwy,Grove St,0.899,0.909
44,Centre St,Northbound,IN,Beginning of Route or Break,Grove St,1.015,1.004
45,Vfw Pkwy,Northbound,IN,Beginning of Route or Break,MA-109/Spring St,0.809,0.837
46,MA-109,Eastbound,IN,Needham St,Boston Providence Tpke/Vfw Pkwy,0.913,0.885
47,Baker St,West Roxbury Southbound,IN,Beginning of Route or Break,Vfw Pkwy,0.976,0.979
48,Lagrange St,Southbound,IN,Corey St/Vine St,Vfw Pkwy,0.944,0.954
49,Vfw Pkwy,Northbound,IN,Independence Dr,W Roxbury Pkwy,0.997,0.993
50,W Roxbury Pkwy,Southbound,IN,Grove St,Vfw Pkwy,0.987,0.990
51,Pond St,Eastbound,IN,Beginning of Route or Break,MA-203/Arborway/Cataumet St,0.961,0.937
52,MA-9,Bay Village Eastbound,IN,Jamaicaway/Riverway,Jamaicaway/Riverway,0.821,0.788
53,Brookline Ave,Eastbound,IN,River Rd,Riverway,0.903,0.832
54,Beacon St,Bay Village Eastbound,IN,Harvard St,MA-2/Park Dr,0.914,0.901
55,MA-2,Bay Village Eastbound,IN,US-20/MA-30/University Rd,Park Dr/Beacon St,0.946,0.952
56,I-90,Eastbound,IN,Toll Plaza/Exit 20,Massachusetts Ave,0.886,0.855
57,MA-2,Westbound,IN,US-20/MA-30/University Rd,US-20/MA-30/University Rd,0.932,0.949
58,MA-2,Bay Village Eastbound,IN,US-20/MA-30/University Rd,US-20/MA-30/University Rd,0.790,0.831
59,Saint Paul St,Northbound,IN,Beacon St,US-20/MA-30/Commonwealth Ave,0.908,0.925
60,Harvard Ave,Allston Northbound,IN,Beacon St,US-20/Brighton Ave,0.915,0.918
61,Washington St,Riverside Westbound,IN,Beacon St,MA-30/Commonwealth Ave,0.943,0.892
62,Beacon St,Bay Village Eastbound,IN,Chestnut Hill Ave,Washington St,0.903,0.894
63,Chestnut Hill Ave,Brighton Northbound,IN,Beginning of Route or Break,Beacon St,0.808,0.811
64,Beacon St,Bay Village Eastbound,IN,Hammond St/College Rd,Chestnut Hill Ave,0.955,0.962
65,MA-30,Allston Eastbound,IN,College Rd/Mount Alvernia Rd,Chestnut Hill Ave,0.955,0.936
66,Kenrick St,Brighton Eastbound,IN,Beginning of Route or Break,Lake St,0.968,0.963
67,Tremont St,Eastbound,IN,Beginning of Route or Break,Washington St,0.960,0.933
68,Washington St,Brookline Village Eastbound,IN,Beginning of Route or Break,Tremont St/Faneuil St/Bigelow St,0.988,0.981
69,I-90,Eastbound,IN,Centre St/Exit 17,Toll Plaza/Exit 18,0.919,0.803
70,Nonantum Rd,Eastbound,IN,Charlesbank Rd,US-20/N Beacon St,0.849,0.790
71,US-20,Back Bay Eastbound,IN,MA-16/Galen St,I-90/Massachusetts Tpke/Leo M Birmingham Pkwy,0.913,0.881
72,Western Ave,Cambridgeport Eastbound,IN,Beginning of Route or Break,Leo M Birmingham Pkwy/Soldiers Field Rd,0.868,0.827
73,Eliot Brg,Eastbound,IN,Beginning of Route or Break,Soldiers Field Rd,0.808,0.772
74,Western Ave,Westbound,IN,MA-2/Memorial Dr,Soldiers Field Rd,0.871,0.888
75,MA-2,Bay Village Eastbound,IN,Beginning of Route or Break,US-20/MA-30/University Rd,0.796,0.811
76,MA-2A,Dorchester Eastbound,IN,Memorial Dr,Storrow Dr,0.976,0.985
